"S.No.","Name","Location","Year","Kilometers_Driven","Fuel_Type","Transmission","Owner_Type","Mileage","Engine","Power","Manufacturer","Model","Type","Price.y","MPG.city","MPG.highway","AirBags","DriveTrain","Cylinders","Horsepower","RPM","Rev.per.mile","Man.trans.avail","Fuel.tank.capacity","Length","Wheelbase","Width","Turn.circle","Rear.seat.room","Luggage.room","Weight","Origin","5","7","8","4","6","2","NA","10","9","0"
14,"Land Rover Freelander 2 TD4 SE","Pune",2012,85000,"Diesel","Automatic","Second",0,2179,NA,"Acura","Integra","Small",15.9,25,31,"None","Front","4",140,6300,2890,"Yes",13.2,177,102,68,37,26.5,11,2705,"non-USA",17.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,"Mitsubishi Pajero Sport 4X4","Delhi",2014,110000,"Diesel","Manual","First",13.5,2477,175.56,"Chevrolet","Lumina_APV","Van",16.3,18,23,"None","Front","6",170,4800,1690,"No",20,178,110,74,44,30.5,NA,3715,"USA",NA,15,NA,NA,NA,NA,NA,NA,NA,NA
16,"Honda Amaze S i-Dtech","Kochi",2016,58950,"Diesel","Manual","First",25.8,1498,98.6,"Acura","Integra","Small",15.9,25,31,"None","Front","4",140,6300,2890,"Yes",13.2,177,102,68,37,26.5,11,2705,"non-USA",5.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,"Maruti Swift DDiS VDI","Jaipur",2017,25000,"Diesel","Manual","First",28.4,1248,NA,"Acura","Integra","Small",15.9,25,31,"None","Front","4",140,6300,2890,"Yes",13.2,177,102,68,37,26.5,11,2705,"non-USA",5.99,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,"Renault Duster 85PS Diesel RxL Plus","Kochi",2014,77469,"Diesel","Manual","First",20.45,1461,83.8,"Acura","Integra","Small",15.9,25,31,"None","Front","4",140,6300,2890,"Yes",13.2,177,102,68,37,26.5,11,2705,"non-USA",6.34,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,"Mercedes-Benz New C-Class C 220 CDI BE Avantgare","Bangalore",2014,78500,"Diesel","Automatic","First",14.84,2143,167.62,"Acura","Integra","Small",15.9,25,31,"None","Front","4",140,6300,2890,"Yes",13.2,177,102,68,37,26.5,11,2705,"non-USA",28,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,"BMW 3 Series 320d","Kochi",2014,32982,"Diesel","Automatic","First",22.69,1995,NA,"Acura","Integra","Small",15.9,25,31,"None","Front","4",140,6300,2890,"Yes",13.2,177,102,68,37,26.5,11,2705,"non-USA",18.55,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,"Maruti S Cross DDiS 200 Alpha","Bangalore",2015,55392,"Diesel","Manual","Second",23.65,1248,88.5,"Acura","Integra","Small",15.9,25,31,"None","Front","4",140,6300,2890,"Yes",13.2,177,102,68,37,26.5,11,2705,"non-USA",8.25,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,"Audi A6 2011-2015 35 TFSI Technology","Mumbai",2015,55985,"Petrol","Automatic","First",13.53,1984,177.01,"Acura","Integra","Small",15.9,25,31,"None","Front","4",140,6300,2890,"Yes",13.2,177,102,68,37,26.5,11,2705,"non-USA",23.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,"Hyundai i20 1.2 Magna","Kolkata",2010,45807,"Petrol","Manual","First",18.5,1197,NA,"Acura","Integra","Small",15.9,25,31,"None","Front","4",140,6300,2890,"Yes",13.2,177,102,68,37,26.5,11,2705,"non-USA",1.87,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,"Volkswagen Vento Petrol Highline AT","Kolkata",2010,33000,"Petrol","Automatic","First",14.4,1598,103.6,"Acura","Integra","Small",15.9,25,31,"None","Front","4",140,6300,2890,"Yes",13.2,177,102,68,37,26.5,11,2705,"non-USA",2.85,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,"Honda City Corporate Edition","Mumbai",2012,51920,"Petrol","Manual","First",16.8,1497,116.3,"Acura","Integra","Small",15.9,25,31,"None","Front","4",140,6300,2890,"Yes",13.2,177,102,68,37,26.5,11,2705,"non-USA",4.25,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,"Nissan Micra Diesel XV","Hyderabad",2012,54000,"Diesel","Manual","First",23.08,1461,63.1,"Acura","Integra","Small",15.9,25,31,"None","Front","4",140,6300,2890,"Yes",13.2,177,102,68,37,26.5,11,2705,"non-USA",4.25,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,"Maruti Alto K10 2010-2014 VXI","Hyderabad",2013,54000,"Petrol","Manual","Second",20.92,998,67.1,"Acura","Integra","Small",15.9,25,31,"None","Front","4",140,6300,2890,"Yes",13.2,177,102,68,37,26.5,11,2705,"non-USA",2.75,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,"Honda WRV i-VTEC VX","Kochi",2018,37430,"Petrol","Manual","First",17.5,1199,88.7,"Acura","Integra","Small",15.9,25,31,"None","Front","4",140,6300,2890,"Yes",13.2,177,102,68,37,26.5,11,2705,"non-USA",9.9,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,"Toyota Innova 2.5 V Diesel 7-seater","Mumbai",2007,262000,"Diesel","Manual","Fourth & Above",12.8,2494,NA,"Chevrolet","Lumina_APV","Van",16.3,18,23,"None","Front","6",170,4800,1690,"No",20,178,110,74,44,30.5,NA,3715,"USA",NA,4,NA,NA,NA,NA,NA,NA,NA,NA
30,"Renault Duster 110PS Diesel RxZ Pack","Bangalore",2013,62000,"Diesel","Manual","First",19.01,1461,108.45,"Acura","Integra","Small",15.9,25,31,"None","Front","4",140,6300,2890,"Yes",13.2,177,102,68,37,26.5,11,2705,"non-USA",7.75,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,"Toyota Corolla Altis G","Delhi",2012,87615,"Petrol","Manual","First",14.53,1798,138.1,"Acura","Integra","Small",15.9,25,31,"None","Front","4",140,6300,2890,"Yes",13.2,177,102,68,37,26.5,11,2705,"non-USA",6.75,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,"Mahindra Ssangyong Rexton RX7","Bangalore",2013,72000,"Diesel","Automatic","Second",11.18,2696,NA,"Chevrolet","Lumina_APV","Van",16.3,18,23,"None","Front","6",170,4800,1690,"No",20,178,110,74,44,30.5,NA,3715,"USA",NA,12.5,NA,NA,NA,NA,NA,NA,NA,NA
33,"Audi A6 2.7 TDI","Kolkata",2010,35000,"Diesel","Automatic","First",12.4,2698,179.5,"Acura","Integra","Small",15.9,25,31,"None","Front","4",140,6300,2890,"Yes",13.2,177,102,68,37,26.5,11,2705,"non-USA",11.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,"Volkswagen Vento 1.6 Highline","Coimbatore",2014,55431,"Petrol","Manual","Second",16.09,1598,103.5,"Acura","Integra","Small",15.9,25,31,"None","Front","4",140,6300,2890,"Yes",13.2,177,102,68,37,26.5,11,2705,"non-USA",6.98,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,"Maruti Wagon R LXI BSIII","Jaipur",2009,83816,"Petrol","Manual","Second",14,1061,NA,"Acura","Integra","Small",15.9,25,31,"None","Front","4",140,6300,2890,"Yes",13.2,177,102,68,37,26.5,11,2705,"non-USA",1.85,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,"Maruti Vitara Brezza ZDi Plus","Kochi",2018,50075,"Diesel","Manual","First",24.3,1248,88.5,"Acura","Integra","Small",15.9,25,31,"None","Front","4",140,6300,2890,"Yes",13.2,177,102,68,37,26.5,11,2705,"non-USA",8.63,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,"Mahindra KUV 100 mFALCON G80 K6 5str AW","Delhi",2017,52000,"Petrol","Manual","First",18.15,1198,NA,"Acura","Integra","Small",15.9,25,31,"None","Front","4",140,6300,2890,"Yes",13.2,177,102,68,37,26.5,11,2705,"non-USA",4.85,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,"Mercedes-Benz M-Class ML 350 CDI","Pune",2013,85000,"Diesel","Automatic","First",11.74,2987,254.8,"Acura","Integra","Small",15.9,25,31,"None","Front","4",140,6300,2890,"Yes",13.2,177,102,68,37,26.5,11,2705,"non-USA",28,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,"Volkswagen Polo Diesel Trendline 1.2L","Chennai",2013,62000,"Diesel","Manual","First",22.07,1199,73.9,"Acura","Integra","Small",15.9,25,31,"None","Front","4",140,6300,2890,"Yes",13.2,177,102,68,37,26.5,11,2705,"non-USA",5,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,"Maruti Alto LXi","Delhi",2008,90000,"Petrol","Manual","Second",19.7,796,46.3,"Acura","Integra","Small",15.9,25,31,"None","Front","4",140,6300,2890,"Yes",13.2,177,102,68,37,26.5,11,2705,"non-USA",1.25,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,"Tata Nano LX SE","Kochi",2014,19698,"Petrol","Manual","First",25.4,624,37.5,"BMW","535i","Midsize",30,22,30,"Driver only","Rear","4",208,5700,2545,"Yes",21.1,186,109,69,39,27,13,3640,"non-USA",NA,NA,NA,1.53,NA,NA,NA,NA,NA,NA
42,"Mahindra KUV 100 mFALCON D75 K8 Dual Tone","Coimbatore",2017,22033,"Diesel","Manual","First",25.32,1198,NA,"Audi","100","Midsize",37.7,19,26,"Driver & Passenger","Front","6",172,5500,2535,"Yes",21.1,193,106,70,37,31,17,3405,"non-USA",NA,NA,NA,NA,5.58,NA,NA,NA,NA,NA
43,"Hyundai i20 Magna Optional 1.2","Kochi",2014,35487,"Petrol","Manual","First",18.5,1197,82.9,"Acura","Integra","Small",15.9,25,31,"None","Front","4",140,6300,2890,"Yes",13.2,177,102,68,37,26.5,11,2705,"non-USA",4.74,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,"Hyundai Elantra 2.0 SX Option AT","Bangalore",2014,46374,"Petrol","Automatic","First",14.62,1999,149.92,"Acura","Integra","Small",15.9,25,31,"None","Front","4",140,6300,2890,"Yes",13.2,177,102,68,37,26.5,11,2705,"non-USA",8.85,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,"Toyota Corolla Altis G AT","Mumbai",2016,52001,"Petrol","Automatic","First",14.28,1798,138.03,"Acura","Integra","Small",15.9,25,31,"None","Front","4",140,6300,2890,"Yes",13.2,177,102,68,37,26.5,11,2705,"non-USA",10.11,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,"Hyundai Elantra CRDi","Ahmedabad",2008,58005,"Diesel","Manual","Second",14.9,1991,112.2,"Acura","Integra","Small",15.9,25,31,"None","Front","4",140,6300,2890,"Yes",13.2,177,102,68,37,26.5,11,2705,"non-USA",4.25,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,"Toyota Innova Crysta 2.7 GX MT","Bangalore",2012,70704,"Petrol","Manual","First",11.25,2694,163.7,"Chevrolet","Lumina_APV","Van",16.3,18,23,"None","Front","6",170,4800,1690,"No",20,178,110,74,44,30.5,NA,3715,"USA",NA,10.95,NA,NA,NA,NA,NA,NA,NA,NA
48,"Hyundai Xcent 1.1 CRDi S","Jaipur",2014,75000,"Diesel","Manual","First",24.4,1120,NA,"Acura","Integra","Small",15.9,25,31,"None","Front","4",140,6300,2890,"Yes",13.2,177,102,68,37,26.5,11,2705,"non-USA",3.85,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,"Mahindra Thar CRDe AC","Jaipur",2012,75800,"Diesel","Manual","Second",16.55,2498,NA,"Audi","100","Midsize",37.7,19,26,"Driver & Passenger","Front","6",172,5500,2535,"Yes",21.1,193,106,70,37,31,17,3405,"non-USA",NA,NA,NA,NA,5.5,NA,NA,NA,NA,NA
50,"Audi A4 2.0 TDI 177 Bhp Premium Plus","Kochi",2015,13648,"Diesel","Automatic","First",17.11,1968,174.33,"Acura","Integra","Small",15.9,25,31,"None","Front","4",140,6300,2890,"Yes",13.2,177,102,68,37,26.5,11,2705,"non-USA",21.43,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,"Maruti Swift LDI","Delhi",2014,52000,"Diesel","Manual","First",22.9,1248,NA,"Acura","Integra","Small",15.9,25,31,"None","Front","4",140,6300,2890,"Yes",13.2,177,102,68,37,26.5,11,2705,"non-USA",4.25,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,"Maruti Swift Ldi BSIV","Kolkata",2014,53000,"Diesel","Manual","First",17.8,1248,NA,"Acura","Integra","Small",15.9,25,31,"None","Front","4",140,6300,2890,"Yes",13.2,177,102,68,37,26.5,11,2705,"non-USA",3.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,"Maruti Swift VDI","Delhi",2013,65650,"Diesel","Manual","First",28.4,1248,NA,"Acura","Integra","Small",15.9,25,31,"None","Front","4",140,6300,2890,"Yes",13.2,177,102,68,37,26.5,11,2705,"non-USA",3.85,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,"Hyundai Grand i10 Sportz","Chennai",2015,54000,"Petrol","Manual","Third",18.9,1197,NA,"Acura","Integra","Small",15.9,25,31,"None","Front","4",140,6300,2890,"Yes",13.2,177,102,68,37,26.5,11,2705,"non-USA",3.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,"Volkswagen Vento 2013-2015 1.6 Comfortline","Kolkata",2015,39000,"Petrol","Manual","First",15.04,1598,103.2,"Acura","Integra","Small",15.9,25,31,"None","Front","4",140,6300,2890,"Yes",13.2,177,102,68,37,26.5,11,2705,"non-USA",3.99,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,"Renault KWID RXT","Kochi",2017,16542,"Petrol","Manual","First",25.17,799,53.3,"Acura","Integra","Small",15.9,25,31,"None","Front","4",140,6300,2890,"Yes",13.2,177,102,68,37,26.5,11,2705,"non-USA",3.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,"Hyundai i10 Asta","Kolkata",2010,32000,"Petrol","Manual","First",20.36,1197,78.9,"Acura","Integra","Small",15.9,25,31,"None","Front","4",140,6300,2890,"Yes",13.2,177,102,68,37,26.5,11,2705,"non-USA",2.07,NA,NA,NA,NA,NA,NA,NA,NA,NA
58,"Nissan X-Trail SLX AT","Hyderabad",2010,121812,"Diesel","Automatic","First",13.29,1995,147.6,"Acura","Integra","Small",15.9,25,31,"None","Front","4",140,6300,2890,"Yes",13.2,177,102,68,37,26.5,11,2705,"non-USA",7.75,NA,NA,NA,NA,NA,NA,NA,NA,NA
59,"Maruti Zen Estilo VXI BSIII","Hyderabad",2010,39300,"Petrol","Manual","First",18.2,998,67.1,"Acura","Integra","Small",15.9,25,31,"None","Front","4",140,6300,2890,"Yes",13.2,177,102,68,37,26.5,11,2705,"non-USA",2.25,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,"Toyota Innova Crysta 2.4 GX MT 8S","Mumbai",2017,22000,"Diesel","Manual","First",13.68,2393,147.8,"Chevrolet","Astro","Van",16.6,15,20,"None","4WD","6",165,4000,1790,"No",27,194,111,78,42,33.5,NA,4025,"USA",NA,NA,16.5,NA,NA,NA,NA,NA,NA,NA
61,"Ford Figo Diesel Titanium","Bangalore",2010,72000,"Diesel","Manual","First",20,1399,NA,"Acura","Integra","Small",15.9,25,31,"None","Front","4",140,6300,2890,"Yes",13.2,177,102,68,37,26.5,11,2705,"non-USA",2.75,NA,NA,NA,NA,NA,NA,NA,NA,NA
62,"Mercedes-Benz New C-Class C 200 CGI Avantgarde","Delhi",2015,58000,"Petrol","Automatic","First",11.74,1796,NA,"Acura","Integra","Small",15.9,25,31,"None","Front","4",140,6300,2890,"Yes",13.2,177,102,68,37,26.5,11,2705,"non-USA",26.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,"Mercedes-Benz New C-Class 200 CDI Classic","Pune",2011,65000,"Diesel","Manual","Second",15.8,2148,NA,"Acura","Integra","Small",15.9,25,31,"None","Front","4",140,6300,2890,"Yes",13.2,177,102,68,37,26.5,11,2705,"non-USA",10,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,"Tata Indica V2 eLS","Chennai",2016,178000,"Diesel","Manual","First",25,1396,NA,"Acura","Integra","Small",15.9,25,31,"None","Front","4",140,6300,2890,"Yes",13.2,177,102,68,37,26.5,11,2705,"non-USA",2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
65,"Audi A4 2.0 TDI Multitronic","Jaipur",2012,65664,"Diesel","Automatic","First",16.55,1968,NA,"Acura","Integra","Small",15.9,25,31,"None","Front","4",140,6300,2890,"Yes",13.2,177,102,68,37,26.5,11,2705,"non-USA",13.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
66,"Honda City ZX CVT","Mumbai",2007,63000,"Petrol","Automatic","Second",16.4,1497,NA,"Acura","Integra","Small",15.9,25,31,"None","Front","4",140,6300,2890,"Yes",13.2,177,102,68,37,26.5,11,2705,"non-USA",1.85,NA,NA,NA,NA,NA,NA,NA,NA,NA
67,"Mercedes-Benz C-Class Progressive C 220d","Coimbatore",2019,15369,"Diesel","Automatic","First",0,1950,NA,"Acura","Integra","Small",15.9,25,31,"None","Front","4",140,6300,2890,"Yes",13.2,177,102,68,37,26.5,11,2705,"non-USA",35.67,NA,NA,NA,NA,NA,NA,NA,NA,NA
68,"Maruti Ertiga SHVS VDI","Pune",2016,63000,"Diesel","Manual","First",24.52,1248,88.5,"Chevrolet","Lumina_APV","Van",16.3,18,23,"None","Front","6",170,4800,1690,"No",20,178,110,74,44,30.5,NA,3715,"USA",NA,8.15,NA,NA,NA,NA,NA,NA,NA,NA
69,"Hyundai Creta 1.4 E Plus Diesel","Mumbai",2018,13000,"Diesel","Manual","First",22.1,1396,88.7,"Acura","Integra","Small",15.9,25,31,"None","Front","4",140,6300,2890,"Yes",13.2,177,102,68,37,26.5,11,2705,"non-USA",10.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
70,"Porsche Cayenne 2009-2014 Turbo","Mumbai",2008,73000,"Petrol","Automatic","First",8.5,4806,NA,"Acura","Integra","Small",15.9,25,31,"None","Front","4",140,6300,2890,"Yes",13.2,177,102,68,37,26.5,11,2705,"non-USA",14.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
71,"Mahindra XUV500 W8 4WD","Mumbai",2015,55729,"Diesel","Manual","First",15.1,2179,NA,"Chevrolet","Lumina_APV","Van",16.3,18,23,"None","Front","6",170,4800,1690,"No",20,178,110,74,44,30.5,NA,3715,"USA",NA,9.65,NA,NA,NA,NA,NA,NA,NA,NA
72,"Hyundai i10 Sportz 1.2 AT","Kochi",2012,45178,"Petrol","Automatic","First",16.95,1197,78.9,"Acura","Integra","Small",15.9,25,31,"None","Front","4",140,6300,2890,"Yes",13.2,177,102,68,37,26.5,11,2705,"non-USA",3.48,NA,NA,NA,NA,NA,NA,NA,NA,NA
73,"Nissan Terrano XV D Pre","Kochi",2015,56066,"Diesel","Manual","First",19.64,1461,108.5,"Acura","Integra","Small",15.9,25,31,"None","Front","4",140,6300,2890,"Yes",13.2,177,102,68,37,26.5,11,2705,"non-USA",6.92,NA,NA,NA,NA,NA,NA,NA,NA,NA
74,"Honda Brio VX AT","Coimbatore",2016,37300,"Petrol","Automatic","Second",16.5,1198,86.8,"Acura","Integra","Small",15.9,25,31,"None","Front","4",140,6300,2890,"Yes",13.2,177,102,68,37,26.5,11,2705,"non-USA",6.46,NA,NA,NA,NA,NA,NA,NA,NA,NA
75,"Audi A6 2.0 TDI Design Edition","Delhi",2014,56000,"Diesel","Automatic","Second",18.53,1968,187.74,"Acura","Integra","Small",15.9,25,31,"None","Front","4",140,6300,2890,"Yes",13.2,177,102,68,37,26.5,11,2705,"non-USA",29.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
76,"Ford Fiesta 1.4 SXi TDCi","Jaipur",2008,111111,"Diesel","Manual","First",17.8,1399,NA,"Acura","Integra","Small",15.9,25,31,"None","Front","4",140,6300,2890,"Yes",13.2,177,102,68,37,26.5,11,2705,"non-USA",2,NA,NA,NA,NA,NA,NA,NA,NA,NA
77,"Toyota Innova 2.0 G1","Chennai",2006,230000,"Petrol","Manual","Third",12.4,1998,NA,"Chevrolet","Astro","Van",16.6,15,20,"None","4WD","6",165,4000,1790,"No",27,194,111,78,42,33.5,NA,4025,"USA",NA,NA,4.5,NA,NA,NA,NA,NA,NA,NA
78,"Toyota Innova 2.5 VX 7 STR BSIV","Hyderabad",2012,104000,"Diesel","Manual","First",12.8,2494,NA,"Chevrolet","Lumina_APV","Van",16.3,18,23,"None","Front","6",170,4800,1690,"No",20,178,110,74,44,30.5,NA,3715,"USA",NA,11.75,NA,NA,NA,NA,NA,NA,NA,NA
79,"Hyundai Santro Xing XL","Hyderabad",2005,87591,"Petrol","Manual","First",0,1086,NA,"Acura","Integra","Small",15.9,25,31,"None","Front","4",140,6300,2890,"Yes",13.2,177,102,68,37,26.5,11,2705,"non-USA",1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
80,"Maruti Swift VDI","Jaipur",2012,95100,"Diesel","Manual","First",22.9,1248,NA,"Acura","Integra","Small",15.9,25,31,"None","Front","4",140,6300,2890,"Yes",13.2,177,102,68,37,26.5,11,2705,"non-USA",3.75,NA,NA,NA,NA,NA,NA,NA,NA,NA
81,"Tata Zest Revotron 1.2T XE","Pune",2017,70000,"Petrol","Manual","First",17.57,1193,88.7,"Acura","Integra","Small",15.9,25,31,"None","Front","4",140,6300,2890,"Yes",13.2,177,102,68,37,26.5,11,2705,"non-USA",4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
82,"Honda Amaze SX i-VTEC","Kochi",2016,54944,"Petrol","Manual","First",18,1198,86.7,"Acura","Integra","Small",15.9,25,31,"None","Front","4",140,6300,2890,"Yes",13.2,177,102,68,37,26.5,11,2705,"non-USA",4.82,NA,NA,NA,NA,NA,NA,NA,NA,NA
83,"Ford Figo Diesel ZXI","Hyderabad",2012,70337,"Diesel","Manual","First",20,1399,NA,"Acura","Integra","Small",15.9,25,31,"None","Front","4",140,6300,2890,"Yes",13.2,177,102,68,37,26.5,11,2705,"non-USA",2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
84,"Maruti Ritz VDi","Jaipur",2013,99638,"Diesel","Manual","First",23.2,1248,73.94,"Acura","Integra","Small",15.9,25,31,"None","Front","4",140,6300,2890,"Yes",13.2,177,102,68,37,26.5,11,2705,"non-USA",3.11,NA,NA,NA,NA,NA,NA,NA,NA,NA
85,"Honda City i VTEC E","Delhi",2009,52000,"Petrol","Manual","First",17.8,1497,117.3,"Acura","Integra","Small",15.9,25,31,"None","Front","4",140,6300,2890,"Yes",13.2,177,102,68,37,26.5,11,2705,"non-USA",3.25,NA,NA,NA,NA,NA,NA,NA,NA,NA
86,"BMW 5 Series 2003-2012 525d","Delhi",2011,75000,"Diesel","Automatic","Second",16.73,1995,NA,"Acura","Integra","Small",15.9,25,31,"None","Front","4",140,6300,2890,"Yes",13.2,177,102,68,37,26.5,11,2705,"non-USA",13.9,NA,NA,NA,NA,NA,NA,NA,NA,NA
87,"Hyundai i10 Sportz 1.2","Pune",2009,95980,"Petrol","Manual","First",20.36,1197,78.9,"Acura","Integra","Small",15.9,25,31,"None","Front","4",140,6300,2890,"Yes",13.2,177,102,68,37,26.5,11,2705,"non-USA",2.25,NA,NA,NA,NA,NA,NA,NA,NA,NA
